ふりがな,山名<山頂名>,都道府県,標高,緯度,経度
ふじさん<けんがみね>,富士山<剣ヶ峯>,山梨県 静岡県,3776,35.36083333,138.7275
きただけ,北岳,山梨県,3193,35.67444444,138.2388889
おくほたかだけ,奥穂高岳,長野県 岐阜県,3190,36.28916667,137.6480556
あいのだけ,間ノ岳,山梨県 静岡県,3190,35.64611111,138.2283333
やりがたけ,槍ヶ岳,長野県,3180,36.34194444,137.6475
ひがしだけ（わるさわだけ）,東岳（悪沢岳）,静岡県,3141,35.50083333,138.1825
あかいしだけ,赤石岳,長野県 静岡県,3121,35.46111111,138.1572222
からさわだけ,涸沢岳,長野県 岐阜県,3110,36.29583333,137.6469444
きたほたかだけ,北穂高岳,長野県 岐阜県,3106,36.3025,137.6519444
おおばみだけ,大喰岳,長野県 岐阜県,3101,36.33583333,137.6458333
まえほたかだけ,前穂高岳,長野県,3090,36.28194444,137.6605556
なかだけ,中岳,長野県 岐阜県,3084,36.32972222,137.6466667
あらかわだけ<なかだけ>,荒川岳<中岳>,静岡県,3084,35.49666667,138.1669444
あらかわだけ<まえだけ>,荒川岳<前岳>,長野県 静岡県,3068,35.49416667,138.1641667
おんたけさん<けんがみね>,御嶽山<剣ヶ峰>,長野県,3067,35.89277778,137.4802778
しおみだけ,塩見岳,長野県 静岡県,3052,35.57305556,138.1836111
のうとりだけ<にしのうとりだけ>,農鳥岳<西農鳥岳>,山梨県 静岡県,3051,35.62472222,138.2302778
みなみだけ,南岳,長野県 岐阜県,3033,36.31888889,137.6508333
せんじょうがたけ,仙丈ヶ岳,山梨県 長野県,3033,35.72,138.1836111
のりくらだけ<けんがみね>,乗鞍岳<剣ヶ峰>,岐阜県 長野県,3026,36.10638889,137.5536111
のうとりだけ,農鳥岳,山梨県 静岡県,3026,35.62111111,138.2369444
たてやま<おおなんじやま>,立山<大汝山>,富山県,3015,36.57583333,137.6197222
ひじりだけ<まえひじりだけ>,聖岳<前聖岳>,長野県 静岡県,3013,35.42277778,138.1397222
つるぎだけ,剱岳,富山県,2999,36.62333333,137.6169444
すいしょうだけ（くろだけ）,水晶岳（黒岳）,富山県,2986,36.42638889,137.6027778
こまがたけ,駒ヶ岳,山梨県 長野県,2967,35.75805556,138.2366667
こまがたけ,駒ヶ岳,長野県,2956,35.78944444,137.8044444
しろうまだけ,白馬岳,富山県 長野県,2932,36.75861111,137.7586111
こまがたけ<ほうけんだけ>,駒ヶ岳<宝剣岳>,長野県,2931,35.78138889,137.8091667
やくしだけ,薬師岳,富山県,2926,36.46888889,137.5447222
のぐちごろうだけ,野口五郎岳,富山県 長野県,2924,36.43277778,137.6377778
わしばだけ,鷲羽岳,富山県 長野県,2924,36.40305556,137.6052778
だいてんじょうだけ,大天井岳,長野県,2922,36.365,137.7011111
にしほたかだけ,西穂高岳,長野県 岐阜県,2909,36.27888889,137.6291667
やりがたけ,鑓ヶ岳,富山県 長野県,2903,36.73138889,137.7552778
あかだけ,赤岳,長野県 山梨県,2899,35.97083333,138.37
かさがたけ,笠ヶ岳,岐阜県,2898,36.31555556,137.5502778
ひろごうちだけ,広河内岳,山梨県 静岡県,2895,35.60611111,138.2358333
かしまやりがたけ,鹿島槍ヶ岳,富山県 長野県,2889,36.62444444,137.7469444
べっさん,別山,富山県,2880,36.5975,137.6202778
りゅうおうだけ,龍王岳,富山県,2872,36.56472222,137.6072222
あさひだけ,旭岳,富山県,2867,36.75777778,137.7458333
こうもりだけ,蝙蝠岳,静岡県,2865,35.55694444,138.2072222
あかうしだけ,赤牛岳,富山県,2864,36.46166667,137.6033333
うつぎだけ,空木岳,長野県,2864,35.71888889,137.8172222
まさごだけ,真砂岳,富山県,2861,36.58666667,137.62
すごろくだけ,双六岳,長野県 岐阜県,2860,36.37194444,137.5872222
じょうねんだけ,常念岳,長野県,2857,36.32555556,137.7275
さんのさわだけ,三沢岳,長野県,2847,35.76666667,137.7941667
みつだけ,三ッ岳,富山県 長野県,2845,36.45472222,137.6494444
みつまたれんげだけ,三俣蓮華岳,富山県 岐阜県 長野県,2841,36.39,137.5877778
みなみこまがたけ,南駒ヶ岳,長野県,2841,35.70138889,137.8108333
かんのんがだけ,観音ヶ岳,山梨県,2841,35.70166667,138.3047222
くろべごろうだけ（なかのまただけ）,黒部五郎岳（中ノ俣岳）,富山県 岐阜県,2840,36.3925,137.54
りゅうおうだけ<じょうどさん>,龍王岳<浄土山>,富山県,2831,36.56833333,137.6036111
よこだけ,横岳,長野県,2830,35.98583333,138.3727778
じいだけ,祖父岳,富山県,2825,36.41111111,137.5911111
はりのきだけ,針ノ木岳,富山県 長野県,2821,36.53805556,137.6844444
おおさわだけ,大沢岳,長野県 静岡県,2820,35.44888889,138.1202778
うさぎだけ,兎岳,長野県 静岡県,2818,35.42861111,138.1211111
ごりゅうだけ,五龍岳,富山県,2814,36.65833333,137.7527778
ひがしてんじょうだけ,東天井岳,長野県,2814,36.35333333,137.7155556
ぬけどだけ,抜戸岳,岐阜県,2813,36.32777778,137.575
しゃくしだけ,杓子岳,富山県 長野県,2812,36.74055556,137.7591667
